house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
1 RK,Studio Apartment,400,Kalkaji,Delhi,22000,1,0,Furnished
1 RK,Studio Apartment,400,Mansarover Garden,Delhi,20000,1,0,Furnished
2 BHK,Independent Floor,500,Uttam Nagar,Delhi,8500,1,0,Semi-Furnished
3 BHK,Independent House,1020,Model Town,Delhi,48000,3,0,Furnished
2 BHK,Apartment ,810,Sector 13 Rohini,Delhi,20000,2,0,Unfurnished
3 BHK,Apartment ,750,DLF Farms,Delhi,11000,1,0,Semi-Furnished
3 BHK,Independent Floor,1300,laxmi nagar,Delhi,20000,2,0,Furnished
3 BHK,Independent Floor,1200,Swasthya Vihar,Delhi,35000,2,0,Furnished
3 BHK,Independent House,1100,Janakpuri,Delhi,39000,2,0,Semi-Furnished
4 BHK,Independent Floor,2500,Pitampura,Delhi,90000,4,0,Semi-Furnished
2 BHK,Apartment ,1162,Gagan Vihar,Delhi,10000,2,0,Semi-Furnished
3 BHK,Independent Floor,900,Dabri,Delhi,20000,2,0,Semi-Furnished
2 BHK,Independent Floor,750,Govindpuri Extension,Delhi,15000,2,0,Semi-Furnished
2 BHK,Apartment ,1100,Paschim Vihar,Delhi,24000,1,0,Semi-Furnished
2 BHK,Independent Floor,1150,Vijay Nagar,Delhi,35000,2,0,Furnished
3 BHK,Apartment ,2000,Vasant Kunj,Delhi,59000,3,0,Semi-Furnished
1 BHK,Independent Floor,1350,Safdarjung Enclave,Delhi,35000,1,0,Semi-Furnished
2 BHK,Apartment ,1000,Vasant Kunj,Delhi,45000,2,0,Furnished
3 BHK,Independent Floor,1100,Janakpuri,Delhi,32500,2,0,Semi-Furnished
4 BHK,Independent Floor,2200,Hauz Khas,Delhi,220000,4,0,Semi-Furnished
3 BHK,Independent Floor,1800,Bali Nagar,Delhi,43000,3,0,Semi-Furnished
2 BHK,Independent Floor,900,Rajouri Garden,Delhi,30000,2,0,Furnished
3 BHK,Independent Floor,1350,Shalimar Bagh,Delhi,68000,2,0,Furnished
3 BHK,Independent Floor,1850,Rajouri Garden,Delhi,55000,3,0,Furnished
1 BHK,Independent Floor,1500,Green Park,Delhi,40000,1,0,Semi-Furnished
3 BHK,Independent Floor,1300,Vasant Kunj,Delhi,40000,2,0,Semi-Furnished
3 BHK,Independent Floor,1440,Dr Mukherji Nagar,Delhi,60000,3,0,Furnished
1 BHK,Independent Floor,600,Subhash Nagar,Delhi,20000,1,0,Semi-Furnished
1 BHK,Independent Floor,750,DLF Phase 5,Delhi,33500,1,0,Furnished
1 RK,Studio Apartment,300,Patel Nagar,Delhi,15500,1,0,Furnished
3 BHK,Apartment ,1600,Jasola,Delhi,43000,2,0,Semi-Furnished
2 BHK,Independent Floor,2400,Dwarka Mor,Delhi,11000,1,0,Semi-Furnished
3 BHK,Independent Floor,2000,Kaushambi,Delhi,34000,3,0,Semi-Furnished
3 BHK,Independent Floor,2025,Surajmal Vihar,Delhi,58000,3,0,Semi-Furnished
3 BHK,Apartment ,1500,Sector 4 Dwarka,Delhi,38000,2,0,Furnished
3 BHK,Apartment ,2200,Sector 6 Dwarka,Delhi,60000,3,0,Furnished
1 BHK,Apartment ,600,Vasant Kunj,Delhi,25000,1,0,Furnished
1 BHK,Apartment ,700,Sector 14 Dwarka,Delhi,18000,1,0,Furnished
2 BHK,Independent Floor,900,Sarvodaya Enclave,Delhi,65000,2,0,Furnished
3 BHK,Independent Floor,1350,Paschim Vihar,Delhi,44000,3,0,Semi-Furnished
3 BHK,Independent Floor,1050,Uttam Nagar,Delhi,28500,2,0,Furnished
1 BHK,Apartment ,450,Chattarpur,Delhi,18000,1,0,Semi-Furnished
8 BHK,Independent Floor,7200,DLF Farms,Delhi,1400000,8,0,Semi-Furnished
1 BHK,Independent Floor,680,Patel Nagar,Delhi,17140,1,0,Furnished
2 BHK,Independent Floor,650,Uttam Nagar,Delhi,12000,1,0,Semi-Furnished
1 BHK,Independent Floor,600,Ramesh Nagar,Delhi,17000,1,0,Furnished
2 BHK,Apartment ,1100,Mayur Vihar II,Delhi,22000,1,0,Semi-Furnished
2 BHK,Independent Floor,1125,Naraina,Delhi,30000,2,0,Semi-Furnished
3 BHK,Independent Floor,1800,Greater Kailash,Delhi,70000,3,0,Semi-Furnished
3 BHK,Independent Floor,2500,DLF Phase 5,Delhi,65000,3,0,Furnished
3 BHK,Independent House,1250,Chittaranjan Park,Delhi,48000,2,0,Furnished
1 RK,Studio Apartment,400,Green Park,Delhi,20000,1,0,Semi-Furnished
1 BHK,Apartment ,800,Naraina,Delhi,14000,1,0,Unfurnished
2 BHK,Apartment ,900,Sector 19 Dwarka,Delhi,25000,2,0,Semi-Furnished
