house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
2 BHK,Apartment ,1180,Ulwe,Mumbai,19000,2,0,Furnished
2 BHK,Apartment ,1120,Ulwe,Mumbai,12500,2,0,Unfurnished
2 BHK,Apartment ,1200,Panvel,Mumbai,22000,2,0,Unfurnished
2 BHK,Apartment ,750,Kandivali West,Mumbai,28500,2,0,Unfurnished
3 BHK,Apartment ,1400,Chembur,Mumbai,50000,3,0,Semi-Furnished
1 RK,Studio Apartment,450,Badlapur East,Mumbai,3000,1,0,Unfurnished
1 BHK,Apartment ,700,Dombivali,Mumbai,9500,2,0,Unfurnished
1 BHK,Apartment ,600,Bandra West,Mumbai,55000,2,0,Furnished
1 BHK,Apartment ,600,Andheri East,Mumbai,50000,2,0,Furnished
2 BHK,Apartment ,1045,Bhayandar East,Mumbai,25000,1,0,Semi-Furnished
4 BHK,Apartment ,1900,Goregaon West,Mumbai,175000,4,0,Furnished
1 BHK,Apartment ,750,Colaba,Mumbai,100000,2,0,Furnished
2 BHK,Apartment ,1150,Kalamboli,Mumbai,20000,2,0,Unfurnished
3 BHK,Apartment ,1400,Ulwe,Mumbai,35000,3,0,Semi-Furnished
2 BHK,Apartment ,1246,Panvel,Mumbai,12000,3,0,Semi-Furnished
1 BHK,Apartment ,650,Palghar,Mumbai,4500,2,0,Semi-Furnished
2 BHK,Apartment ,1000,Nerul,Mumbai,28000,2,0,Unfurnished
3 BHK,Apartment ,1300,Kandivali East,Mumbai,77000,2,0,Furnished
3 BHK,Apartment ,1050,Sion,Mumbai,175000,3,0,Furnished
2 BHK,Apartment ,750,Andheri West,Mumbai,55000,2,0,Unfurnished
4 BHK,Apartment ,1900,Juhu,Mumbai,360000,4,0,Semi-Furnished
2 BHK,Apartment ,1360,Vasai,Mumbai,21500,2,0,Semi-Furnished
1 BHK,Apartment ,710,Thakurli,Mumbai,13000,1,0,Semi-Furnished
2 BHK,Apartment ,950,Powai,Mumbai,60000,2,0,Furnished
3 BHK,Apartment ,1050,Andheri West,Mumbai,90000,3,0,Semi-Furnished
3 BHK,Apartment ,2000,Jogeshwari East,Mumbai,145000,3,0,Semi-Furnished
1 BHK,Independent Floor,500,Mira Road East,Mumbai,7500,1,0,Unfurnished
1 BHK,Apartment ,700,Thane West,Mumbai,18000,2,0,Semi-Furnished
3 BHK,Apartment ,2175,Parel,Mumbai,230000,3,0,Semi-Furnished
3 BHK,Villa ,2800,Powai,Mumbai,145000,2,0,Unfurnished
2 BHK,Apartment ,650,Prabhadevi,Mumbai,90000,2,0,Semi-Furnished
2 BHK,Apartment ,750,Ghatkopar East,Mumbai,50000,3,0,Semi-Furnished
1 BHK,Apartment ,670,Kalyan West,Mumbai,13000,2,0,Semi-Furnished
1 BHK,Apartment ,275,Dadar East,Mumbai,18500,1,0,Unfurnished
2 BHK,Apartment ,1075,Chembur,Mumbai,68000,2,0,Unfurnished
3 BHK,Apartment ,1000,vile parle west,Mumbai,125000,2,0,Furnished
