house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
2 BHK,Apartment ,906,Lohegaon,Pune,12000,2,0,Unfurnished
1 BHK,Apartment ,650,Anand Nagar,Pune,11000,1,0,Semi-Furnished
1 RK,Studio Apartment,350,Wagholi,Pune,4500,1,0,Unfurnished
3 BHK,Apartment ,1500,Sangamvadi,Pune,35000,2,0,Furnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
2 BHK,Apartment ,975,Tathawade,Pune,15500,2,0,Semi-Furnished
1 BHK,Independent House,540,Hinjewadi,Pune,24000,1,0,Unfurnished
2 BHK,Apartment ,800,Viman Nagar,Pune,40000,2,0,Semi-Furnished
2 BHK,Apartment ,1050,Undri,Pune,16000,2,0,Unfurnished
2 BHK,Apartment ,1050,Pimple Nilakh,Pune,38000,2,0,Semi-Furnished
1 BHK,Apartment ,700,Kharadi,Pune,23000,1,0,Unfurnished
5 BHK,Apartment ,2500,Tathawade,Pune,51000,5,0,Semi-Furnished
3 BHK,Apartment ,1280,Lohegaon,Pune,23000,3,0,Semi-Furnished
3 BHK,Apartment ,1630,Mohammed wadi,Pune,41000,3,0,Semi-Furnished
3 BHK,Apartment ,2700,NIBM Annex Mohammadwadi,Pune,75000,4,0,Semi-Furnished
3 BHK,Apartment ,1333,Bavdhan,Pune,31000,3,0,Semi-Furnished
3 BHK,Apartment ,1500,Balewadi,Pune,38000,3,0,Unfurnished
3 BHK,Independent House,2300,Bavdhan,Pune,85000,3,0,Furnished
1 BHK,Apartment ,550,Wadgaon Sheri,Pune,15000,1,0,Semi-Furnished
1 BHK,Apartment ,600,Pimple Nilakh,Pune,18000,1,0,Unfurnished
3 BHK,Apartment ,1354,Chinchwad,Pune,30000,3,0,Semi-Furnished
2 BHK,Apartment ,1200,Hadapsar,Pune,33000,2,0,Semi-Furnished
2 BHK,Apartment ,950,Gultekdi,Pune,25000,2,0,Furnished
1 RK,Studio Apartment,350,Karve Nagar,Pune,11000,1,0,Unfurnished
3 BHK,Apartment ,1400,Baner,Pune,42000,3,0,Semi-Furnished
3 BHK,Apartment ,2310,Sopan Baug,Pune,60000,3,0,Unfurnished
2 BHK,Apartment ,900,Dhayari,Pune,16000,2,0,Semi-Furnished
4 BHK,Apartment ,3800,Koregaon Park,Pune,200000,4,0,Semi-Furnished
3 BHK,Apartment ,1400,Kharadi,Pune,45000,3,0,Semi-Furnished
1 BHK,Apartment ,750,Gahunje,Pune,23000,1,0,Semi-Furnished
3 BHK,Apartment ,900,Hinjewadi,Pune,20000,2,0,Semi-Furnished
1 BHK,Apartment ,610,Chinchwad,Pune,14000,1,0,Semi-Furnished
1 BHK,Apartment ,550,Yerawada,Pune,14000,1,0,Semi-Furnished
3 BHK,Villa ,2100,Wagholi,Pune,32000,3,0,Furnished
1 BHK,Independent House,300,Chinchwad,Pune,8000,2,0,Furnished
1 BHK,Apartment ,627,Chakan,Pune,7000,2,0,Semi-Furnished
2 BHK,Apartment ,900,Dhayari,Pune,17500,2,0,Furnished
1 BHK,Apartment ,550,Wakad,Pune,20000,1,0,Semi-Furnished
1 RK,Studio Apartment,250,Wanowrie,Pune,19000,1,0,Semi-Furnished
2 BHK,Apartment ,1200,Hingne Budrukh,Pune,18000,2,0,Semi-Furnished
4 BHK,Apartment ,2000,Talegaon Dabhade,Pune,35000,4,0,Semi-Furnished
3 BHK,Apartment ,1650,Wakad,Pune,55000,3,0,Furnished
3 BHK,Apartment ,1400,Baner,Pune,20000,2,0,Semi-Furnished
2 BHK,Apartment ,1200,Chikhali,Pune,13000,2,0,Semi-Furnished
2 BHK,Apartment ,905,Wakad,Pune,18000,2,0,Semi-Furnished
1 BHK,Apartment ,650,Baner,Pune,15000,1,0,Unfurnished
2 BHK,Apartment ,754,Loni Kalbhor,Pune,10000,2,0,Unfurnished
4 BHK,Villa ,6000,Baner,Pune,90000,null,0,Furnished
4 BHK,Apartment ,2200,Pashan,Pune,55002,4,0,Furnished
2 BHK,Apartment ,1000,Viman Nagar,Pune,21000,2,0,Furnished
2 BHK,Apartment ,1000,Sukhsagar Nagar,Pune,12000,2,0,Semi-Furnished
1 BHK,Apartment ,730,Bavdhan,Pune,13500,1,0,Semi-Furnished
1 BHK,Apartment ,621,Yerawada,Pune,28000,1,0,Furnished
3 BHK,Apartment ,1600,Baner,Pune,45000,3,0,Semi-Furnished
2 BHK,Apartment ,800,Hadapsar,Pune,32000,2,0,Semi-Furnished
2 BHK,Apartment ,980,Lohegaon,Pune,21000,2,0,Unfurnished
3 BHK,Villa ,2000,Wagholi,Pune,36000,3,0,Semi-Furnished
1 BHK,Apartment ,680,Viman Nagar,Pune,27000,1,0,Furnished
1 BHK,Apartment ,550,Undri,Pune,11000,1,0,Semi-Furnished
1 BHK,Apartment ,550,Kharadi,Pune,22000,1,0,Unfurnished
1 BHK,Apartment ,700,Wagholi,Pune,10000,2,0,Unfurnished
2 BHK,Apartment ,1050,Wanowrie,Pune,23000,2,0,Semi-Furnished
2 BHK,Apartment ,1100,Wagholi,Pune,15000,2,0,Furnished
1 BHK,Apartment ,650,Viman Nagar,Pune,28000,1,0,Furnished
2 BHK,Apartment ,1200,Wagholi,Pune,17000,2,0,Furnished
3 BHK,Apartment ,1500,Vishrantwadi,Pune,28000,3,0,Unfurnished
1 BHK,Apartment ,710,Wagholi,Pune,8500,2,0,Semi-Furnished
1 BHK,Apartment ,750,Pimple Gurav,Pune,12000,1,0,Unfurnished
3 BHK,Apartment ,1650,Hadapsar,Pune,25000,3,0,Unfurnished
2 BHK,Apartment ,1250,Pimpri Chinchwad,Pune,13000,2,0,Semi-Furnished
1 BHK,Apartment ,600,Karve Nagar,Pune,18000,1,0,Semi-Furnished
2 BHK,Apartment ,950,Mahalunge,Pune,30000,2,0,Furnished
1 BHK,Apartment ,600,Viman Nagar,Pune,26000,1,0,Furnished
2 BHK,Apartment ,1050,Wanowrie,Pune,23000,2,0,Semi-Furnished
2 BHK,Apartment ,900,Kharadi,Pune,30000,2,0,Semi-Furnished
2 BHK,Apartment ,1060,Baner,Pune,38000,2,0,Furnished
2 BHK,Apartment ,1100,Tathawade,Pune,23000,2,0,Unfurnished
3 BHK,Apartment ,1300,Vadgaon Budruk,Pune,30000,3,0,Semi-Furnished
2 BHK,Apartment ,950,Lohegaon,Pune,19500,2,0,Semi-Furnished
2 BHK,Apartment ,1211,Bavdhan,Pune,27500,2,0,Semi-Furnished
1 BHK,Apartment ,600,Wadgaon Sheri,Pune,18000,1,0,Semi-Furnished
2 BHK,Apartment ,1050,Pimple Nilakh,Pune,26000,2,0,Furnished
2 BHK,Apartment ,1000,Ganga Dham,Pune,28000,2,0,Unfurnished
2 BHK,Apartment ,1100,Aundh,Pune,24200,2,0,Semi-Furnished
